Feature,Importance,Model
col_0,15.900084495544434,XGBClassifier
col_1,19.068218231201172,XGBClassifier
col_2,26.361135482788086,XGBClassifier
col_3,9.57847785949707,XGBClassifier
col_4,10.727070808410645,XGBClassifier
col_5,25.85781478881836,XGBClassifier
col_6,14.765170097351074,XGBClassifier
col_7,17.239892959594727,XGBClassifier
account_length,10.989531517028809,XGBClassifier
international_plan,78.45664978027344,XGBClassifier
voice_mail_plan,100.0,XGBClassifier
number_vmail_messages,11.025178909301758,XGBClassifier
total_day_minutes,34.482444763183594,XGBClassifier
total_day_calls,12.73366641998291,XGBClassifier
total_day_charge,17.192514419555664,XGBClassifier
total_eve_minutes,21.011003494262695,XGBClassifier
total_eve_calls,11.468073844909668,XGBClassifier
total_eve_charge,24.299041748046875,XGBClassifier
total_night_minutes,18.539989471435547,XGBClassifier
total_night_calls,10.341711044311523,XGBClassifier
total_night_charge,12.973281860351562,XGBClassifier
total_intl_minutes,21.542478561401367,XGBClassifier
total_intl_calls,32.0130729675293,XGBClassifier
total_intl_charge,0.0,XGBClassifier
number_customer_service_calls,35.07868194580078,XGBClassifier
area_code_408,12.034071922302246,XGBClassifier
area_code_415,11.038140296936035,XGBClassifier
area_code_510,9.218360900878906,XGBClassifier
col_0,4.185022026431718,LGBMClassifier
col_1,4.185022026431718,LGBMClassifier
col_2,3.524229074889868,LGBMClassifier
col_3,1.762114537444934,LGBMClassifier
col_4,1.762114537444934,LGBMClassifier
col_5,4.405286343612335,LGBMClassifier
col_6,3.0837004405286343,LGBMClassifier
col_7,3.7444933920704844,LGBMClassifier
account_length,48.89867841409692,LGBMClassifier
international_plan,11.894273127753303,LGBMClassifier
voice_mail_plan,11.674008810572687,LGBMClassifier
number_vmail_messages,12.995594713656388,LGBMClassifier
total_day_minutes,100.0,LGBMClassifier
total_day_calls,50.22026431718062,LGBMClassifier
total_day_charge,0.6607929515418502,LGBMClassifier
total_eve_minutes,68.5022026431718,LGBMClassifier
total_eve_calls,49.55947136563877,LGBMClassifier
total_eve_charge,17.180616740088105,LGBMClassifier
total_night_minutes,60.352422907488986,LGBMClassifier
total_night_calls,52.6431718061674,LGBMClassifier
total_night_charge,13.876651982378855,LGBMClassifier
total_intl_minutes,63.21585903083701,LGBMClassifier
total_intl_calls,35.02202643171806,LGBMClassifier
total_intl_charge,0.0,LGBMClassifier
number_customer_service_calls,22.687224669603523,LGBMClassifier
area_code_408,4.6255506607929515,LGBMClassifier
area_code_415,4.405286343612335,LGBMClassifier
area_code_510,5.726872246696035,LGBMClassifier
col_0,0.43007617008737237,BaggingClassifier
col_1,0.0,BaggingClassifier
col_2,2.260826721681865,BaggingClassifier
col_3,0.6890424973598592,BaggingClassifier
col_4,2.037705958250691,BaggingClassifier
col_5,1.5034723090147635,BaggingClassifier
col_6,0.5881536605733498,BaggingClassifier
col_7,0.862128667054049,BaggingClassifier
account_length,33.26605006574728,BaggingClassifier
international_plan,45.67252262767577,BaggingClassifier
voice_mail_plan,38.17439873006759,BaggingClassifier
number_vmail_messages,10.90587748972168,BaggingClassifier
total_day_minutes,100.0,BaggingClassifier
total_day_calls,33.75834836111604,BaggingClassifier
total_day_charge,69.11356202890335,BaggingClassifier
total_eve_minutes,55.68808518953629,BaggingClassifier
total_eve_calls,31.152264147150348,BaggingClassifier
total_eve_charge,48.10017712189926,BaggingClassifier
total_night_minutes,31.748123207985568,BaggingClassifier
total_night_calls,35.29277176291306,BaggingClassifier
total_night_charge,32.77208273469465,BaggingClassifier
total_intl_minutes,38.14641326871182,BaggingClassifier
total_intl_calls,66.28504566527118,BaggingClassifier
total_intl_charge,46.410719560547264,BaggingClassifier
number_customer_service_calls,11.859208148387536,BaggingClassifier
area_code_408,2.7255034076487568,BaggingClassifier
area_code_415,1.8614518831376332,BaggingClassifier
area_code_510,3.961927612902738,BaggingClassifier
